42,09.03 22:00,167.156,0
42,09.03 23:00,169.188,0
42,10.03 00:00,141.59,0
42,10.03 01:00,128.545,0
42,10.03 02:00,146.497,0
42,10.03 03:00,148.671,0
42,10.03 04:00,142.537,0
42,10.03 05:00,145.004,0
42,10.03 06:00,146.043,0
42,10.03 07:00,148.665,0
42,10.03 08:00,178.606,0
42,10.03 09:00,191.918,0
42,10.03 10:00,199.161,0
42,10.03 11:00,204.153,0
42,10.03 12:00,203.57,0
42,10.03 13:00,207.243,0
42,10.03 14:00,210.773,0
42,10.03 15:00,214.292,0
42,10.03 16:00,214.012,0
42,10.03 17:00,201.958,0
42,10.03 18:00,179.147,0
42,10.03 19:00,176.257,0
42,10.03 20:00,168.685,0
42,10.03 21:00,164.512,0
42,10.03 22:00,160.598,0
42,10.03 23:00,158.419,0
42,11.03 00:00,135.05,0
